Прізвище,Ім’я,По батькові,Стать,Дата народження,Посада,Місто проживання,Адреса проживання,Телефон,Email
Балабан,Антон,Володимирович,Чоловік,1970-06-12,Секретар,хутір Ічня,"провулок 7-ма Суворовська, буд. 9, Олешки, 68118",089 221 57 71,gstus@example.com
Кабаненко,Федір,Олександрович,Чоловік,1993-09-17,Програміст,місто Копичинці,"сквер Виноградна, буд. 372 кв. 183, Арциз, 54899",047 086 00 64,tkhudiak@example.com
Артюшенко,Ярослава,Володимирівна,Жінка,2001-02-19,Диригент,місто Вовчанськ,"вулиця Сергія Уточкіна, буд. 61, Подільськ, 35788",327 03 22,ruslanfareniuk@example.org
Бабич,Трохим,Андрійович,Чоловік,1954-08-31,Підприємець,селище Бердянськ,"шосе Черепанових, буд. 157, Вашківці, 65333",+380 84 590 74 59,pavlenkoboleslav@example.org
Колісниченко,Ярема,Володимирович,Чоловік,1992-03-27,Мірошник,селище Хорол ,"сквер Ювілейний 2-й, буд. 155, Заставна, 15211",008 854 64 22,bzabara@example.net
Кириленко,Юстина,Сергіївна,Жінка,1978-07-06,Ріелтор,село Ямпіль,"сквер Оранжерейний, буд. 66, Добропілля, 68760",711 67 58,fskyrda@example.com
Бараник,Болеслав,Богданович,Чоловік,1960-02-10,Актор,село Самбір,"парк Грецька, буд. 78, Сіверськ, 73732",097 256-39-85,khutsuliak@example.net
Матвієнко,Данна,Сергіївна,Жінка,1950-10-05,Пекар,хутір Красноград,"набережна Зоряна, буд. 07 кв. 85, Монастириська, 48993",028 543 63 50,larysaiefymenko@example.org
Рябошапка,Назар,Сергійович,Чоловік,1975-05-08,Стиліст,селище Генічеськ,"набережна Сабанєєв, буд. 550, Березне, 93623",+380 18 570 43 09,olha29@example.org
Вакарчук,Сергій,Юрійович,Чоловік,2008-06-02,Гінеколог,село Хмельницький,"провулок Добровольського, буд. 206 кв. 27, Алмазна, 08296",+380 (22) 314-59-72,rudkoihnat@example.org
Гунько,Леонтій,Олександрович,Чоловік,1987-04-13,Кінорежисер,селище Київ,"провулок Майстерний, буд. 8 кв. 9, Синельникове, 44967",+380 (62) 465-91-58,usvystun@example.org
Андрієнко,Вікторія,Михайлівна,Жінка,1948-09-04,Ботанік,село Рудки,"площа Лінія 25-та, буд. 69 кв. 7, Добропілля, 86022",+380 42 549 46 40,avrelii62@example.com
Терещук,Вʼячеслав,Миколайович,Чоловік,1996-09-20,Кінорежисер,хутір Мостиська,"площа Газовий, буд. 02 кв. 06, Донецьк, 87820",+380 60 377-96-40,tsiutsiuralukian@example.net
Вовк,Григорій,Олександрович,Чоловік,2004-01-28,Правник,місто Рубіжне,"узвіз Міхновського Миколи, буд. 7, Красноперекопськ, 76246",825-10-58,dan06@example.org
Засенко,Алла,Юріївна,Жінка,1959-05-06,Громадський діяч,хутір Бунге ,"парк Учнівська, буд. 18 кв. 068, Чуднів, 04643",+380 55 813 95 01,viktorzubko@example.org
Годунок,Демʼян,Олександрович,Чоловік,1969-09-21,Пілот,селище Овруч,"шосе Аркадіївський, буд. 65 кв. 005, Борислав, 99371",+380 86 866 58 96,baturynetspetro@example.net
Затовканюк,Єфрем,Володимирович,Чоловік,1973-02-08,Медик,хутір Апостолове,"парк Недєліна, буд. 7, Васильків, 94759",+380 52 273-25-61,lsuprunenko@example.net
Якименко,Костянтин,Михайлович,Чоловік,1960-06-10,Фрілансер,село Селидове,"вулиця Щукіна, буд. 7 кв. 4, Полтава, 85982",+380 58 368-28-31,stepan59@example.net
Цюцюра,Галина,Миколаївна,Жінка,1987-09-23,Кур'єр,село Севастополь,"сквер Сумський, буд. 097, Енергодар, 53723",837-97-07,rvatamaniuk@example.net
Жадан,Михайло,Михайлович,Чоловік,1993-10-29,Кушнір,хутір Новий Розділ,"набережна Тетяни Тесс, буд. 02, Севастополь, 23774",+380 82 869 44 39,frants81@example.net
Євтушенко,Богодар,Петрович,Чоловік,1939-06-13,Фізик,місто Нове Давидково,"шосе Покровський, буд. 349, Іллінці, 06745",+380 54 160-14-72,makar17@example.org
Гупало,Пантелеймон,Сергійович,Чоловік,1953-01-23,Диригент,місто Гребінка,"шосе Соборна, буд. 33, Сквира, 99537",099 060 25 55,qkorpaniuk@example.net
Супруненко,Григорій,Богданович,Чоловік,1947-09-14,Музичний редактор,селище Алмазна,"провулок Дорбуду, буд. 066 кв. 007, Горішні Плавні, 32532",080 721-53-22,lutsenkodemian@example.com
Рудик,Емілія,Іванівна,Жінка,1981-02-25,Модель,місто Сулимівка (Слов'янськ),"площа Чорноморський 11-й, буд. 16, Долина , 53028",+380 (39) 201-46-72,davydenkomykhailo@example.net
Шинкаренко,Костянтин,Іванович,Чоловік,1954-12-13,Адвокат,село Белз,"проспект Сосюри, буд. 04 кв. 728, Батурин, 17417",934-67-20,iukhym56@example.org
Матвієнко,Клавдія,Олександрівна,Жінка,1952-06-05,Сценарист,селище Борзна,"сквер Східний 2-й, буд. 07 кв. 455, Борщів, 26380",388 74 79,iosypzhuchenko@example.net
Бараник,Олекса,Петрович,Чоловік,1987-10-10,Живописець,село Олевськ,"площа Лінія 40-ва, буд. 285, Богодухів, 83033",+380 86 033-37-76,tsarenkoomelian@example.org
Хомик,Павло,Миколайович,Чоловік,1977-05-14,Астроном,хутір Червоносів,"набережна Сумська, буд. 804, Севастополь, 87118",+380 81 502-33-69,adurdynets@example.org
Лукаш,Ростислав,Володимирович,Чоловік,1952-11-04,Круп'є,село Олешки,"проспект Джерельна, буд. 393 кв. 2, Судак , 02278",661 09 44,eshchyrytsia@example.net
Мазепа,Надія,Михайлівна,Жінка,1989-09-06,Няня,селище Новомиргород,"набережна Рощева, буд. 045, Українськ, 73496",+380 (15) 266-26-91,leontii16@example.net
Архимович,Тереза,Богданівна,Жінка,2007-05-24,Мінералог,хутір Кобеляки,"шосе Гастелло, буд. 6, Козятин, 98425",+380 (54) 000-75-69,nandriishyna@example.org
Сич,Олександр,Юрійович,Чоловік,1942-09-07,Ветеринар,хутір Новодністровськ,"парк Князівський, буд. 10, Ромни, 53735",+380 06 015-34-29,viktor64@example.org
Комар,Левко,Іванович,Чоловік,1973-09-03,Піаніст,хутір Армянськ,"вулиця Парусна, буд. 8, Кам'янка-Бузька, 45183",090 386-09-25,stepanarkhypenko@example.org
Чаленко,Галина,Андріївна,Жінка,1963-12-23,Модельєр,селище Кобеляки,"площа Лазурний 6-й, буд. 5, Підгайці, 02874",024 050 24 15,derhachboleslav@example.com
Шморгун,Назар,Богданович,Чоловік,1969-07-17,Водій,місто Зеленодольськ,"вулиця Наявний 5-й, буд. 108 кв. 118, Сімферополь, 42598",+380 70 040-48-70,klavdiiasirko@example.net
Жайворон,Йосип,Олександрович,Чоловік,1960-09-16,Електротехнік,місто П'ятихатки,"сквер Палубна, буд. 576, Копичинці, 79586",+380 55 003-10-05,skopenkoroksolana@example.net
Конопленко,Гордій,Юрійович,Чоловік,1992-02-03,Парфюмер,село Рава-Руська,"шосе Гагаріна, буд. 0, Мена , 91154",+380 (15) 285-70-88,rozaliia93@example.com
Гаврилів,Клавдія,Миколаївна,Жінка,1999-11-25,Випробувач,селище Севастополь,"проспект Курортний, буд. 25, Шостка, 89165",035 688-06-57,violettamykhailiuk@example.com
Нестеренко,Геннадій,Андрійович,Чоловік,1964-02-01,Електрик,місто Сміла,"провулок Чубаївська, буд. 25, Нове Давидково, 52574",+380 69 674-20-67,khomyklukian@example.org
Ковпак,Одарка,Богданівна,Жінка,1995-09-20,Філолог,хутір Хорол ,"площа Вірського, буд. 08, Молочанськ, 07683",072 170 98 31,hohol-ianovskasolomon@example.com
Верховинець,Веніямин,Юрійович,Чоловік,2003-11-19,Петрограф,місто Попасна,"шосе Задніпровського, буд. 69, Сніжне, 53724",+380 82 720 34 93,leonid27@example.net
Гунько,Алла,Петрівна,Жінка,2006-10-10,Стропальник,селище Новогродівка,"проспект Героїв прикордонників, буд. 32, Теплодар, 34779",044 200-33-79,bohdanlysenko@example.net
Базилевич,Любов,Юріївна,Жінка,1952-10-27,Письменник,місто Глобине,"провулок Соляний 3-й, буд. 49, Зеленодольськ, 87445",+380 33 873-34-20,mariana56@example.org
Корж,Петро,Олександрович,Чоловік,1973-05-02,Ботанік,селище Червоноград,"вулиця Рельєфна, буд. 2, Білозерське, 33102",+380 14 897 82 27,lesyknadiia@example.org
Кабаненко,Олена,Михайлівна,Жінка,1988-07-27,Піаніст,село Бобринець,"узвіз 15-та Суворовська, буд. 41, Мена , 90122",+380 27 613 70 44,stanislav30@example.com
Петренко,Камілла,Петрівна,Жінка,2007-01-20,Водій,селище Шаргород,"провулок Калинова, буд. 52, Хотин, 04110",056 475 02 12,ntaran@example.net
Дрозденко,Людмила,Сергіївна,Жінка,1943-05-03,Скульптор,селище Молодогвардійськ,"шосе Тепличний 2-й, буд. 0 кв. 9, Іршава, 23465",029 459-97-95,mykhailo64@example.com
Цибуленко,Надія,Сергіївна,Жінка,1960-02-02,Дизайнер,селище Добропілля,"провулок Ювілейний 2-й, буд. 585, Мелітополь, 24565",025 690-44-93,chabandan@example.org
Жученко,Вʼячеслав,Іванович,Чоловік,1992-04-10,Маркетолог,хутір Тульчин,"провулок Покровський, буд. 9, Хотин, 69712",460-69-51,kostiantynkaras@example.net
Москаль,Веніямин,Петрович,Чоловік,1962-06-28,Правник,селище П'ятихатки,"набережна Рачкова, буд. 307 кв. 3, Виноградів, 52415",914-69-94,jirvanets@example.net
Назаренко,Олександр,Сергійович,Чоловік,1974-01-28,Електромонтажник,хутір Біляївка,"узвіз Карантинна, буд. 42, Ладижин, 85203",013 508-11-44,masliakirena@example.com
Романець,Арсен,Володимирович,Чоловік,1948-08-19,Геофізик,селище Жовква,"проспект Локомотивний 3-й, буд. 3 кв. 466, Мерефа, 08931",068 099-43-46,wkovpak@example.net
Ніколюк,Захар,Петрович,Чоловік,1946-03-06,Астрофізик,місто Святогірськ,"вулиця Бокаріуса Миколи, буд. 899 кв. 637, Армянськ, 68157",189 39 58,aivashchenko@example.org
Онищенко,Варфоломій,Михайлович,Чоловік,1959-11-14,Дизайнер,хутір Андрушівка,"шосе Дачна, буд. 4, Скалат, 78957",+380 59 218-34-11,danylenkopanas@example.net
Шиян,Микита,Миколайович,Чоловік,1965-01-17,Архітектор,селище Лубни,"вулиця Тимірязєва 3-й, буд. 0, Гірське, 09089",+380 04 544-24-36,enestaiko@example.net
Штепа,Омелян,Михайлович,Чоловік,1940-01-05,Підприємець,місто Світлодарськ,"площа Молодіжна, буд. 8, Рахів, 28610",808 39 23,hukiaroslava@example.net
Оніщук,Олена,Володимирівна,Жінка,1981-12-10,Електрослюсар,село Кам'янка-Бузька,"сквер Чернігівський, буд. 35, Городенка, 37621",+380 (58) 860-08-01,stetsostap@example.net
Ковалюк,Камілла,Богданівна,Жінка,1975-01-27,Астронавт,село Снятин,"шосе Віцеадмірала Азарова, буд. 5, Вознесенськ, 09884",+380 84 050 19 43,xandriievych@example.org
Редько,Володимир,Володимирович,Чоловік,1970-04-14,Вчитель,село Конотоп,"площа Миколаївський 1-й, буд. 538 кв. 30, Калинівка , 25797",085 634-20-12,iukhymenkoartem@example.org
Рябовіл,Венедикт,Олександрович,Чоловік,2003-10-14,Дизайнер,місто Славутич,"сквер Совіньйонівський, буд. 3, Авдіївка, 83578",148 80 26,alinadrobakha@example.com
Михалюк,Роман,Юрійович,Чоловік,2004-02-29,Археолог,місто Турка,"парк Грецький, буд. 8, Куп'янськ, 17284",+380 (71) 048-55-43,erika32@example.com
Деряжна,Володимира,Михайлівна,Жінка,1963-02-28,Математик,хутір Кролевець,"вулиця Лютневий 2-й, буд. 1 кв. 9, Кипуче, 90795",+380 47 390 53 59,danshamrai@example.com
Атаманюк,Єва,Юріївна,Жінка,1943-03-22,Епідеміолог,хутір Оріхів,"шосе Скляна, буд. 243, Покровськ, 63462",+380 (39) 865-77-57,ruslanlytvyn@example.com
Дейсун,Клавдія,Миколаївна,Жінка,1979-12-05,Сантехнік,село Тальне,"площа Технічний, буд. 490, Хмельницький, 25547",+380 46 249 51 73,rsachenko@example.com
Данькевич,Альберт,Миколайович,Чоловік,2005-08-12,Музичний редактор,місто Долинська,"сквер Щукіна, буд. 1 кв. 1, Ватутіне, 88281",+380 (18) 438-21-11,skorykarkadii@example.com
Жаліло,Еріка,Юріївна,Жінка,1943-12-03,Агроном,хутір Ананьїв,"шосе Архітекторська, буд. 26, Торецьк, 82726",+380 20 394 42 13,panasredko@example.com
Чарниш,Марія,Іванівна,Жінка,1951-09-04,Драматург,село Кролевець,"узвіз Чорноморська, буд. 5 кв. 29, Вовчанськ, 87517",+380 07 962-86-39,amvrosii55@example.net
Черінько,Анастасія,Володимирівна,Жінка,1997-04-04,Кур'єр,хутір Борщів,"парк Аеропортівський 4-й, буд. 58 кв. 2, Вільнянськ, 31437",088 161-62-04,veniiamyn21@example.com
Медведенко,Ярина,Михайлівна,Жінка,1950-12-25,Ді-джей,село Дубровиця,"проспект Керченська, буд. 7, Ірпінь, 66569",031 218 18 81,serhii28@example.com
Андрійович,Франц,Сергійович,Чоловік,1963-04-21,Паралегал,хутір Антрацит ,"площа Академіка Вавилова, буд. 76, Шаргород, 29494",012 457-66-74,tsybulenkoazar@example.com
Демʼянюк,Наталія,Олександрівна,Жінка,2004-07-17,Астронавт,місто Лутугине,"провулок Одеса-Головна, буд. 33 кв. 6, Гірське, 08047",388-78-66,azar18@example.com
Демиденко,Віталій,Петрович,Чоловік,1976-08-31,Детектив,село Алмазна,"узвіз Маріїнська, буд. 351, Золотоноша, 37033",039 053 09 20,kostiantyn03@example.com
Ванченко,Орхип,Андрійович,Чоловік,1980-06-28,Паблік рилейшнз,місто Ізюм,"проспект Віцеадмірала Азарова, буд. 0 кв. 17, Татарбунари, 22206",389 27 74,martyn75@example.net
Кабалюк,Леонід,Володимирович,Чоловік,1989-04-30,Композитор,хутір Обухів,"вулиця Косовська, буд. 305, Лисичанськ, 35619",+380 17 895-96-47,leopoldriaboshapka@example.com
Тимченко,Ярослава,Володимирівна,Жінка,1965-07-06,Живописець,місто Нікополь,"провулок Нова, буд. 09 кв. 74, Буськ, 91434",+380 72 759-67-15,andriichukalbert@example.com
Теліженко,Пармен,Юрійович,Чоловік,1967-11-09,Біолог,селище Скадовськ,"провулок Купріна, буд. 32, Шепетівка, 88931",284 17 35,ihorhavrysh@example.org
Скорик,Богданна,Михайлівна,Жінка,1992-05-08,Психолог,село Старий Крим,"шосе Артезіанська, буд. 19 кв. 0, Снігурівка, 77201",033 462 96 95,taras60@example.com
Гук,Станіслав,Іванович,Чоловік,1973-10-22,Ґрунтознавець,місто Євпаторія,"шосе Наявний 4-й, буд. 34 кв. 401, Прилуки, 48264",084 11 38,fedir35@example.com
Стус,Розалія,Петрівна,Жінка,1982-08-22,Правник,селище Семенівка,"шосе Миколаївська дорога, буд. 513 кв. 905, Запоріжжя, 21476",365 84 83,darynaizhak@example.org
Чуприна,Прохір,Володимирович,Чоловік,1976-04-14,Різноробочий,село Лутугине,"проспект Амундсена, 2-й, буд. 851, Новодністровськ, 35573",+380 77 175-87-28,dutkasnizhana@example.net
Дробʼязко,Степан,Олександрович,Чоловік,1996-06-22,Фрілансер,місто Калуш,"набережна Південна дорога, буд. 5 кв. 93, Лиман , 57151",010 37 09,otsybulenko@example.com
Тесля,Левко,Юрійович,Чоловік,1970-11-18,Модель,місто Новоселиця,"узвіз Новиков міст, буд. 4, Жовті Води, 77810",024 456-56-57,rudykmykolai@example.org
Забіла,Андрій,Михайлович,Чоловік,1957-09-18,Лікар,село Чернівці,"парк Інтернаціональний, буд. 00 кв. 511, Комарно, 87373",015 785 20 33,mromanenko@example.net
Валенко,Богдан,Юрійович,Чоловік,1990-08-21,Дизайнер,хутір Ржищів,"вулиця Академіка Філатова, буд. 88 кв. 77, Тлумач, 03532",+380 41 500-56-29,leontii24@example.org
Данченко,Богодар,Сергійович,Чоловік,1949-12-01,Краєзнавець,місто Авдіївка,"вулиця Авіаційна, буд. 0, Луцьк, 67661",+380 65 046-69-71,zilchenko@example.net
Ільченко,Володимира,Іванівна,Жінка,1966-08-16,Кур'єр,місто Буськ,"вулиця Толбухіна, буд. 97 кв. 7, Керч, 22289",+380 97 070 64 66,spasumanets@example.net
Рева,Алла,Богданівна,Жінка,1988-12-26,Лікар,селище Глухів,"парк Єліна, буд. 89, Алупка, 08906",056 994-19-09,kandriichuk@example.com
Тарасенко,Павло,Миколайович,Чоловік,2005-11-19,Сантехнік,селище Жовква,"площа Кузнечна, буд. 8, Херсон, 36576",+380 (22) 362-54-17,kybkalomaryna@example.com
Забіла,Аарон,Петрович,Чоловік,1981-05-15,Фольклорист,село Лебедин,"парк Кримський, буд. 947 кв. 36, Вилкове, 66809",220 68 76,solomiiasamoilenko@example.net
Хмара,Богодар,Олександрович,Чоловік,1947-04-07,Кінолог,хутір Нова Одеса,"шосе Селищний, буд. 81 кв. 5, Кривий Ріг, 02893",+380 56 135 64 99,fedir78@example.net
Данчук,Надія,Миколаївна,Жінка,1995-02-21,Петрограф,селище Снятин,"набережна Юрія Яновського, буд. 83 кв. 58, Городище , 07676",044 254 86 20,kostiantyn08@example.net
Жук,Костянтин,Михайлович,Чоловік,1966-01-04,Електротехнік,місто Ржищів,"парк Проектований 3-й, буд. 83 кв. 77, Буринь, 93837",+380 93 019 94 23,viktorhaidai@example.com
Наливайко,Орхип,Сергійович,Чоловік,1969-07-19,Педагог,село Дунаївці,"шосе Павлова, буд. 001 кв. 2, Жданівка, 70938",294 54 49,bdeineko@example.com
Онуфрієнко,Алла,Сергіївна,Жінка,1961-04-01,Психолог,місто Дергачі,"вулиця Лазурний 1-й, буд. 026, Ялта, 20320",290-97-19,veibozhenko@example.net
Козаченко,Ада,Андріївна,Жінка,1939-05-31,Диригент,село Рахів,"вулиця Бодаревського, буд. 99, Боярка, 72685",590-92-65,hvivcharenko@example.com
Чуйко,Розалія,Богданівна,Жінка,1987-04-04,Мірошник,селище Сватове,"шосе Соляний 4-й, буд. 13 кв. 17, Монастириська, 55083",+380 77 838-13-83,ishchenkoada@example.net
Міщенко,Богуслав,Іванович,Чоловік,1954-09-07,Клоун,місто Перечин,"проспект Радіальна, буд. 418 кв. 50, Гайсин, 50770",293-16-93,chabanpanteleimon@example.net
Нестеренко,Вʼячеслав,Юрійович,Чоловік,2007-04-27,Акушер,хутір Ічня,"провулок Тещин міст, буд. 75, Павлоград, 42021",+380 60 999-11-59,symon50@example.org
Рева,Омелян,Сергійович,Чоловік,1988-12-23,Хореограф,селище Полтава,"площа Ціолковського, буд. 598 кв. 33, Черкаси, 66081",083 237-66-50,nishchenko@example.org
Ващенко,Августин,Андрійович,Чоловік,1966-08-31,Архітектор,місто Городенка,"сквер Рівності 1-й, буд. 7, Бердянськ, 45931",+380 (26) 373-41-35,nazarieroshenko@example.com
Іваничук,Борис,Петрович,Чоловік,2001-01-04,Геолог,село Вовчанськ,"сквер Гетьманський, буд. 933 кв. 68, Овруч, 23957",+380 26 025-39-29,mishchenkofedir@example.com
Мазепа,Ліза,Володимирівна,Жінка,1978-01-30,Агроном,село Шостка,"шосе Віри Фігнер, буд. 51, Ананьїв, 10046",023 017 40 99,edyta66@example.com
Артюшенко,Едуард,Петрович,Чоловік,1939-04-20,Мовознавець,село Теплодар,"набережна Пересипський 1-й, буд. 35 кв. 9, Дубно, 67261",+380 13 388-28-79,vtelychenko@example.org
Філіпенко,Сергій,Іванович,Чоловік,2006-12-15,Музикознавець,село Іллінці,"площа Асташкіна, буд. 50, Галич, 03304",+380 49 320 04 22,achekaliuk@example.com
Корбут,Трохим,Михайлович,Чоловік,1984-06-15,Провізор,селище Чернігів,"вулиця Слави, буд. 368 кв. 6, Радивилів, 38764",+380 06 586 49 69,tytarenkoborys@example.org
Сірченко,Володимира,Олександрівна,Жінка,1968-08-13,Стоматолог,хутір Ямпіль,"площа 3-тя Лінія Марії Демченко, буд. 9 кв. 37, Хрестівка, 65969",438 83 21,hzakharchenko@example.net
Ґоляш,Нестор,Сергійович,Чоловік,1984-02-11,Золотар,селище Сміла,"провулок Ананьївська, буд. 700 кв. 194, Оріхів, 05814",+380 (89) 090-91-96,bohodarierchenko@example.com
Чумаченко,Мартин,Іванович,Чоловік,1963-04-24,Ріелтор,хутір Сарни,"набережна Локомотивна, буд. 9, Докучаєвськ, 29638",494-90-84,bhydenkoolha@example.com
Пʼятаченко,Давид,Олександрович,Чоловік,2002-02-06,Музикант,село Новояворівськ,"узвіз Олексіївська, буд. 070 кв. 8, Білицьке, 06162",+380 (05) 983-66-22,pelekhbohuslav@example.net
Гоголь,Пармен,Іванович,Чоловік,1987-04-06,Скульптор,село Самбір,"набережна Флотський 3-й, буд. 82, Знам'янка, 97790",+380 60 376-28-89,stefanvitruk@example.org
Сірко,Охрім,Олександрович,Чоловік,1991-10-18,Візажист,місто Дружба ,"парк Маланова, буд. 817 кв. 4, Коростишів, 68232",+380 83 859 02 05,okseniia50@example.net
Тягнибок,Богданна,Юріївна,Жінка,1941-11-05,Перекладач,місто Іршава,"вулиця Торгова, буд. 37, Горлівка, 90223",871-51-71,sshyian@example.org
Височан,Валерій,Михайлович,Чоловік,2002-02-11,Перекладач,село Нове Давидково,"парк Куяльницький міст, буд. 2, Долина , 64789",058 408 84 23,illia67@example.net
Фастенко,Ілля,Андрійович,Чоловік,1966-02-11,Мистецтвознавець,село Дубляни,"провулок Мацієвської узвіз, буд. 88, Черкаси, 92397",+380 65 781-97-38,iosyprudko@example.org
Гаврилишина,Юстина,Богданівна,Жінка,1958-10-25,Флорист,хутір Дніпрорудне,"вулиця Леха Качинського, буд. 84 кв. 57, Великі Мости, 92911",556-96-14,albertmiroshnychenko@example.net
Баштан,Станіслав,Андрійович,Чоловік,1944-08-23,Зоолог,селище Гадяч,"набережна Літній, буд. 4 кв. 9, Горішні Плавні, 05565",+380 16 851 93 03,labaaaron@example.net
Шовкопляс,Азар,Іванович,Чоловік,1948-03-02,Флорист,селище Болград,"шосе Онезька, буд. 9 кв. 1, Скалат, 23806",080 000-49-67,tymofiicharnysh@example.com
Ільєнко,Миколай,Іванович,Чоловік,1947-08-22,Детектив,місто Герца,"сквер Виставочна, буд. 364, Новоукраїнка, 39051",+380 65 099-43-59,vatamaniukliliia@example.org
Захаренко,Юстина,Михайлівна,Жінка,1994-07-15,Диригент,селище Хмельницький,"площа Геранієва, буд. 252 кв. 5, Ізюм, 34353",+380 37 279-05-48,tiesypenko@example.net
Джунь,Аніта,Юріївна,Жінка,1944-11-15,Публіцист,місто Вінниця,"проспект Професора Каришковського, буд. 49, Острог, 38889",460-04-28,artem65@example.net
Андрійчук,Святослав,Іванович,Чоловік,1947-11-05,Публіцист,хутір Ужгород,"сквер Кільцева, буд. 57, Кіцмань, 83891",+380 66 312 53 29,ihorkolesnychenko@example.com
Гречко,Святослав,Михайлович,Чоловік,1999-10-20,Науковець,хутір Малин,"узвіз Ламаний, буд. 177, Старий Самбір, 34412",064 026 66 25,zakhardemydenko@example.org
Редько,Ярема,Богданович,Чоловік,1998-06-17,Професор,селище Дніпрорудне,"сквер Марії Демченко, буд. 4 кв. 7, Гуляйполе, 33396",068 940-35-46,deriazhnamakar@example.org
Деревʼянко,Костянтин,Юрійович,Чоловік,1972-06-26,Пілот,село Чоп,"провулок Чорноморський 8-й, буд. 76, Перечин, 16854",+380 72 984-94-07,valentyn78@example.net
Семенченко,Ганна,Олександрівна,Жінка,1985-11-01,Золотар,місто Біляївка,"провулок Панченка, буд. 5 кв. 1, Чорнобиль, 81596",+380 37 523-02-63,edyta41@example.org
Хоменко,Ірина,Іванівна,Жінка,2002-09-24,Диригент,село Мостиська,"площа Разумовська, буд. 52 кв. 254, Деражня, 53922",+380 19 534-34-26,zvenhrynovych@example.net
Василечко,Герман,Олександрович,Чоловік,1943-09-03,Палеонтолог,місто Покровськ,"провулок Лермонтовський 2-й, буд. 7 кв. 6, Сокаль, 51869",+380 17 137-96-68,tchubai@example.com
Овчаренко,Леопольд,Андрійович,Чоловік,1966-05-08,М'ясник,хутір Лисичанськ,"проспект Композитора Ніщинського, буд. 304 кв. 59, Чернівці, 12406",+380 78 236 37 67,roksolanaoberemko@example.org
Козаченко,Одарка,Михайлівна,Жінка,1982-10-09,Композитор,хутір Авдіївка,"набережна Лінія 53-тя, буд. 3 кв. 9, Полонне, 58546",082 673 63 16,haidamakaprokhir@example.net
Гресь,Анастасія,Володимирівна,Жінка,1961-07-03,Дипломат,селище Рава-Руська,"провулок Садова 3-тя, буд. 2 кв. 78, Світловодськ, 91722",+380 58 177-90-25,azar09@example.net
Шевченко,Златослава,Іванівна,Жінка,1988-01-24,Програміст,місто Борзна,"парк Санітарна, буд. 1, Шахтарськ, 22818",054 52 92,leonid76@example.org
Вахній,Симон,Андрійович,Чоловік,1973-12-14,Промисловець,місто Севастополь,"парк Баркасний, буд. 1, Рівне, 65478",+380 06 478-16-30,haievskyileonid@example.org
Саченко,Кирило,Іванович,Чоловік,1951-09-25,Фольклорист,хутір Антрацит ,"парк Восьмого березня 7-й, буд. 619, Новодністровськ, 28290",154 30 38,vadym31@example.net
Алексюк,Святослава,Іванівна,Жінка,1977-04-20,Сценарист,селище Петрово-Красносілля,"парк Миколи Бажана, буд. 99 кв. 508, Красногорівка, 05252",048 923-04-48,mykhaliukherman@example.com
Демʼянюк,Остап,Петрович,Чоловік,1977-08-07,М'ясник,місто Щастя ,"вулиця Студентський 5-й, буд. 323, Залізне, 48416",004 769 56 83,hohol-ianovskyihennadii@example.net
Артимович,Володимира,Сергіївна,Жінка,1995-03-10,Художник,хутір Гадяч,"провулок 14-та ст. Великого Фонтану пляж, буд. 120 кв. 48, Берегове, 90038",+380 04 209 77 18,irena41@example.org
Оберемко,Миколай,Андрійович,Чоловік,2005-08-18,Флорист,хутір Баштанка,"вулиця Героїв Небесної Сотні, буд. 7 кв. 43, Львів, 17325",+380 05 292 19 81,edyta86@example.net
Петренко,Онисим,Сергійович,Чоловік,1990-05-01,Драматург,хутір Кремінна,"шосе Маловського, буд. 4, Південне , 37592",033 748-82-81,nestor58@example.net
Саєнко,Миколай,Михайлович,Чоловік,1967-07-18,Електромонтер,селище Кам'янка (Черкаська область),"вулиця Дубова, буд. 679, Кривий Ріг, 51607",+380 41 614 67 79,prokhir30@example.com
Абраменко,Омелян,Богданович,Чоловік,1964-12-29,Електрослюсар,селище Каховка,"шосе Казковий, буд. 3 кв. 583, Буськ, 79432",+380 46 267-63-40,leontiidemianenko@example.net
Стельмах,Демʼян,Іванович,Чоловік,1973-10-01,Промисловець,село Керч,"шосе Акордна, буд. 30, Миргород, 91139",713 61 23,orest81@example.org
Титаренко,Демʼян,Юрійович,Чоловік,1939-03-28,Історик,село Нетішин,"сквер 14-та Лінія 6-й ст. Люстдорфської дороги, буд. 01, Скадовськ, 31639",+380 50 359-32-14,qchekaliuk@example.com
Цюпа,Давид,Юрійович,Чоловік,2001-05-03,Паблік рилейшнз,місто Львів,"шосе Світлий, буд. 007, Мерефа, 01019",062 733-26-71,saliiaaron@example.com
Іщенко,Іван,Михайлович,Чоловік,1941-12-21,Антрополог,хутір Токмак,"провулок Соборна, буд. 1, Зміїв, 46706",+380 32 439-25-80,oleksandr08@example.org
Чекалюк,Алевтин,Володимирович,Чоловік,1966-02-18,Геолог,хутір Первомайський ,"вулиця Житкова, буд. 3, Кодима, 55241",+380 (10) 164-20-20,tsymbalsolomon@example.net
Яременко,Сніжана,Михайлівна,Жінка,1986-08-30,Намотувальник,селище Кременець,"узвіз Гастелло, буд. 16, Карлівка, 81367",246 04 46,teodorchekaliuk@example.org
Аврамчук,Лариса,Сергіївна,Жінка,2008-04-26,Фармацевт,селище Золотоноша,"парк Лобачевського, буд. 5, Світловодськ, 53467",046 008 69 97,zsalii@example.com
